Assay ID,,Description,Assay_Name,Assay_Group,Assay_Format,Assay_Type,Species,AID,ChEMBL Assay ID
196,,Antagonist activity at AR (unknown origin) expressed in human LNCaP cells assessed as reduction in R1881-induced response incubated for 20 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL4151795
197,,Antagonist activity at AR (unknown origin) expressed in human PC3 cells assessed as reduction in DHT-induced transcriptional activation at 3 to 10 uM after 24 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL4275647
198,,Antagonist activity at androgen receptor by cellular reporter gene assay,cellular reporter gene assay,Reporter gene,assay format,antagonist,Homo sapiens,,CHEMBL2214342
199,,Antagonist activity at androgen receptor by Gal4-DNA binding domain-hormone receptor LBD one-hybrid assay,one-hybrid assay,Binding,single protein format,Antagonist,Homo sapiens,,CHEMBL983681
200,,Antagonist activity at AR by reporter gene assay,reporter gene assay,Reporter gene,assay format,Antagonist,Homo sapiens,,CHEMBL1068435
201,,Antagonist activity at androgen receptor by transcriptional reporter gene assay,transcriptional reporter gene assay,Reporter gene,assay format,Antagonist,Homo sapiens,,CHEMBL1937895
202,,Antagonist activity at AR co-activator binding domain expressed in african green monkey CV1 cells assessed as decrease in R1881-induced luciferase activity at <=40 uM relative to control,MMTV-Luc reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2168723
203,,Antagonist activity at androgen receptor expressed in A549 cells by HRE-tk luciferase assay,HRE-tk luciferase assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL898139
204,,Antagonist activity at androgen receptor expressed in COS cell at 3000 nM by whole cell assay,whole cell assay,Binding,cell-based format,Antagonist,Homo sapiens,,CHEMBL902507
205,,Antagonist activity at androgen receptor expressed in COS cell by whole cell assay,Competitive Binding Assay,Binding,Other,Antagonist,Homo sapiens,,CHEMBL902508
206,,Antagonist activity at androgen receptor expressed in Cos7 cells assessed as inhibition of dihydrotestosterone-induced luciferase activity after 24 hrs by reporter gene assay,reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL1960484
207,,Antagonist activity at androgen receptor expressed in CV1 cells assessed as dihydrotestosterone-stimulated transactivation by CAT reporter gene assay,CAT reporter gene assay,Binding,cell-based format,Antagonist,Homo sapiens,,CHEMBL937558
208,,Antagonist activity at androgen receptor expressed in HeLa cells assessed as inhibition of dihydrotestosterone-induced transcriptional activity by reporter gene assay,reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL914606
209,,Antagonist activity at androgen receptor expressed in HeLa-AR3A-PSA-(ARE)4-Luc13 cells assessed as reduction in DHT-induced androgen receptor expression at 10 to 40 uM incubated for 24 hrs by Western blotting,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2025230
210,,Antagonist activity at androgen receptor expressed in HeLa-AR3A-PSA-(ARE)4-Luc13 cells assessed as rightward shift of DHT-induced response at 10 uM incubated for 20 hrs at 37 degC by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2025083
211,,Antagonist activity at androgen receptor expressed in HeLa-AR3A-PSA-(ARE)4-Luc13 cells assessed as rightward shift of DHT-induced response incubated for 20 hrs at 37 degC by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2025085
212,,Antagonist activity at androgen receptor expressed in human LNAR cells assessed as inhibition of R1881-induced luciferase activity at 0.1 uM by spectrophotometry,cell-based HTS assay,HTS,cell-based format,Antagonist,Homo sapiens,,CHEMBL1947979
213,,Antagonist activity at androgen receptor expressed in human LNAR cells assessed as inhibition of R1881-induced luciferase activity at 1 uM by spectrophotometry,cell-based HTS assay,HTS,cell-based format,Antagonist,Homo sapiens,,CHEMBL1947978
214,,Antagonist activity at androgen receptor expressed in human LNAR cells assessed as inhibition of R1881-induced luciferase activity by spectrophotometry,cell-based HTS assay,HTS,cell-based format,Antagonist,Homo sapiens,,CHEMBL1947977
215,,Antagonist activity at androgen receptor expressed in human PC3 cells assessed as reduction in DHT-induced receptor transactivation at 0.1 to 1 uM by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2166917
216,,Antagonist activity at androgen receptor expressed in MDA-MB-453 cells assessed as inhibition of dihydrotestosterone-induced response in reporter gene assay,Reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL923797
217,,Antagonist activity at AR H874Y mutant in human 22Rv1 cells assessed as inhibition of DHT-induced cell proliferation measured after 3 days by WST8 assay,WST8 assay,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL4158084
218,,Antagonist activity at androgen receptor in androgen dependent human LNCAP cells assessed reduction of CPA-induced PSA expression after 2 hrs by ELISA,Cell Proliferation Assays,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL2089763
219,,Antagonist activity at androgen receptor in androgen dependent human LNCAP cells assessed reduction of CPA-induced PSA expression at 10 uM after 2 hrs by ELISA,Cell Proliferation Assays,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL2089768
220,,Antagonist activity at androgen receptor in androgen dependent human LNCAP cells assessed reduction of DHT-induced PSA expression after 2 hrs by ELISA,Cell Proliferation Assays,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL2089762
221,,Antagonist activity at androgen receptor in androgen-dependent mouse SC3 cells assessed as inhibition of testosterone-induced cell growth after 3 days,cell proliferation,Cell proliferation,cell-based format,Antagonist,Mus musculus,,CHEMBL2343828
222,,Antagonist activity at AR in bicalutamide-resistant human LNCAP cells assessed as effect on cell proliferation after 6 days,Cell proliferation,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL1121349
223,,Antagonist activity at AR in human bicalutamide-resistant LNCAP cells assessed as inhibition of cell proliferation after 6 days,Cell proliferation,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL1291551
224,,Antagonist activity at androgen receptor in human LNAR cells expressing ARE-PSA-LUC at 1 uM by luminescence analysis in presence of R1881,luminescence analysis,Binding,cell-based format,Antagonist,Homo sapiens,,CHEMBL2014260
225,,Antagonist activity at androgen receptor in human LNAR cells expressing ARE-PSA-LUC by luminescence analysis in presence of R1881,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2014258
226,,Antagonist activity at androgen receptor in human LNCAP cells assessed as cell death after 144 hrs by SRB assay,Competitive Binding Assay,Cell proliferation,Other,Antagonist,Homo sapiens,,CHEMBL4010476
227,,Antagonist activity at androgen receptor in human LNCAP cells assessed as cell growth inhibition after 144 hrs by SRB assay,Competitive Binding Assay,Cell proliferation,Other,Antagonist,Homo sapiens,,CHEMBL4010474
228,,Antagonist activity at androgen receptor in human LNCAP cells assessed as decrease in prostate specific antigen mRNA level after 20 hrs by real time RT-PCR analysis,RT-PCR,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2013561
229,,Antagonist activity at androgen receptor in human LNCAP cells assessed as decrease in prostate specific antigen mRNA level at 2.5 uM after 20 hrs by real time RT-PCR analysis relative to control,RT-PCR,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2013560
230,,Antagonist activity at androgen receptor in human LNCAP cells assessed as decrease in PSA expression levels at 10 to 40 uM after 24 hrs by Western blot analysis,Western blot method,Binding,cell-based format,Antagonist,Homo sapiens,,CHEMBL4190682
231,,Antagonist activity at androgen receptor in human LNCAP cells assessed as decrease in testosterone-induced PSA expression levels at 10 to 40 uM after 24 hrs by Western blot analysis,Western blot method,Binding,cell-based format,Antagonist,Homo sapiens,,CHEMBL4190681
232,,Antagonist activity at androgen receptor in human LNCAP cells assessed as decrease in testosterone-induced PSA expression levels at 10 uM after 24 hrs by Western blot analysis,Western blot method,Binding,cell-based format,Antagonist,Homo sapiens,,CHEMBL4190680
233,,Antagonist activity at androgen receptor in human LNCAP cells assessed as decrease in transmembrane protease serine 2 mRNA level after 20 hrs by real time RT-PCR analysis,RT-PCR,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2013562
234,,Antagonist activity at AR in human LNCAP cells assessed as downregulation of AR protein expression after 24 hrs by Western blot analysis,cell proliferation,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL3864027
235,,Antagonist activity at AR in human LNCAP cells assessed as downregulation of PSA mRNA levels at 5 uM after 24 hrs in presence of DHT by RT-PCR analysis,cell proliferation,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL3864023
236,,Antagonist activity at AR in human LNCAP cells assessed as downregulation of PSA mRNA levels at 500 nM after 24 hrs in presence of DHT by RT-PCR analysis,cell proliferation,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL3864022
237,,Antagonist activity at AR in human LNCAP cells assessed as effect on cell proliferation after 6 days,Cell proliferation,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL1121347
238,,Antagonist activity at androgen receptor in human LNCaP cells assessed as increase in Maspin promoter activity by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2166712
239,,Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of androgen-stimulated cell growth at 20 uM measured every 3 days relative to dihydrotestosterone,Cell Proliferation Assays.,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL3266737
240,,Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of androgen-stimulated cell growth at 40 uM measured every 3 days relative to dihydrotestosterone,Cell Proliferation Assays.,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL3266738
241,,Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of androgen-stimulated cell growth measured every 3 days,Cell Proliferation Assays.,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL3266739
242,,Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of R1881-induced chemokine (C-X-C motif) ligand 5 gene expression at 5 uM after 20 hrs by cDNA microarray analysis relative to control,cDNA microarray analysis,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL2013580
243,,Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of R1881-induced chemokine (C-X-C motif) ligand 9 gene expression at 5 uM after 20 hrs by cDNA microarray analysis relative to control,cDNA microarray analysis,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL2013581
244,,Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of R1881-induced chemokine (C-X-C motif) receptor 4 gene expression at 5 uM after 20 hrs by cDNA microarray analysis relative to control,cDNA microarray analysis,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL2013579
245,,Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of R1881-induced ELL associated factor 2 gene expression at 5 uM after 20 hrs by cDNA microarray analysis relative to control,cDNA microarray analysis,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL2013578
246,,Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of R1881-induced FK506 binding protein 5 gene expression at 5 uM after 20 hrs by cDNA microarray analysis relative to control,cDNA microarray analysis,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL2013573
247,,Antagonist activity at human AR expressed in HEK293 cells measured after 24 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL3867367
248,,Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of R1881-induced hydroxyprostaglandin dehydrogenase 15-(NAD) gene expression at 5 uM after 20 hrs by cDNA microarray analysis relative to control,cDNA microarray analysis,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL2013574
249,,Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of R1881-induced insulin-like growth factor 1 gene expression at 5 uM after 20 hrs by cDNA microarray analysis relative to control,cDNA microarray analysis,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL2013577
250,,Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of R1881-induced kallikrein-related peptidase 2 gene expression at 5 uM after 20 hrs by cDNA microarray analysis relative to control,cDNA microarray analysis,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL2013575
251,,Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of R1881-induced KCNMA1 gene expression at 5 uM after 20 hrs by cDNA microarray analysis relative to control,cDNA microarray analysis,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL2013582
252,,Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of R1881-induced N-myc downstream regulated 1 gene expression at 5 uM after 20 hrs by cDNA microarray analysis relative to control,cDNA microarray analysis,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL2013576
253,,Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of R1881-induced PHLDB2 gene expression at 5 uM after 20 hrs by cDNA microarray analysis relative to control,cDNA microarray analysis,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL2013583
254,,Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of R1881-induced prostate specific antigen mRNA expression after 20 hrs by real time RT-PCR analysis relative to control,RT-PCR,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2013566
255,,Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of R1881-induced prostate specific antigen mRNA expression at 10 uM after 20 hrs by real time RT-PCR analysis,RT-PCR,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2013568
256,,Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of R1881-induced SRMS gene expression at 5 uM after 20 hrs by cDNA microarray analysis relative to control,cDNA microarray analysis,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL2013622
257,,Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of R1881-induced suppressor of cytokine signaling 2 gene expression at 5 uM after 20 hrs by cDNA microarray analysis relative to control,cDNA microarray analysis,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL2013584
258,,Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of R1881-induced transmembrane protease serine 2 gene expression at 5 uM after 20 hrs by cDNA microarray analysis,cDNA microarray analysis,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL2013572
259,,Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of R1881-induced transmembrane protease serine 2 mRNA expression after 20 hrs by real time RT-PCR analysis,RT-PCR,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2013567
260,,Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of R1881-induced transmembrane protease serine 2 mRNA expression at 10 uM after 20 hrs by real time RT-PCR analysis,RT-PCR,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2013569
261,,Antagonist activity at AR in human LNCAP cells assessed as reduction in DHT-induced cell growth at 1 to 10 uM treated for every 2 days for 4 days by hemocytometry,Cell proliferation assay,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL4275650
262,,Antagonist activity at AR in human LNCAP cells assessed as reduction in DHT-induced cell growth at 1 to 3 uM treated for every 2 days for 4 days by hemocytometry,Cell proliferation assay,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL4275652
263,,Antagonist activity at AR in human LNCAP cells assessed as reduction in DHT-induced cell growth treated for every 2 days for 4 days by hemocytometry,Cell proliferation assay,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL4275653
264,,Antagonist activity at androgen receptor in human LNCaP cells assessed as reduction in DHT-induced PSA expression at 1 uM by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2166714
265,,Antagonist activity at androgen receptor in human LNCaP cells assessed as reduction in DHT-induced PSA expression at 2.5 uM by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2166713
266,,Antagonist activity at androgen receptor in human LNCaP cells assessed as reduction in DHT-induced PSA expression by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2166918
267,,Antagonist activity at AR in human LNCAP cells assessed as reduction in DHT-induced transcriptional activation after 24 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL4275646
268,,Antagonist activity at androgen receptor in human LNCAP cells assessed as reduction in PSA mRNA expression at 10 uM after 24 hrs by RT-qPCR analysis relative to control,cell proliferation,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL4010473
269,,Antagonist activity at AR in human LNCAP cells assessed as suppression of DHT-induced AR protein level at 10 uM measured after 24 hrs relative to control,reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL3863628
270,,Antagonist activity at AR in human LNCAP cells assessed as suppression of DHT-induced AR protein level measured after 24 hrs relative to control,reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL3863651
271,,Antagonist activity at AR in human LNCAP cells assessed as suppression of DHT-induced receptor transcriptional activity at 5 uM after 24 hrs by dual luciferase reporter gene assay,dual luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL3864013
272,,Antagonist activity at AR in human LNCAP cells assessed as suppression of DHT-induced receptor transcriptional activity at 500 nM after 24 hrs by dual luciferase reporter gene assay,dual luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL3864014
273,,Antagonist activity at AR in human LNCAP cells receptor assessed as inhibition of R1881-induced transcriptional activation at 10 uM by ARE-luciferase reporter gene assay,ARE-luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2208462
274,,Antagonist activity at androgen receptor in human LNCAP cells transfected with p6.1-luciferase assessed as inhibition of R1881-induced transcriptional activity at 3.5 uM pretreated 1 hr prior to R1881 addition measured after 48 hrs by luciferase reporter gene assay, luciferase reporter gene assay,Reporter gene,cell-based format,Antagonsit,Homo sapiens,,CHEMBL1947555
275,,Antagonist activity at androgen receptor in human LNCAP cells transfected with p6.1-luciferase assessed as inhibition of R1881-induced transcriptional activity at 7 uM pretreated 1 hr prior to R1881 addition measured after 48 hrs by luciferase reporter gene assay, luciferase reporter gene assay,Reporter gene,cell-based format,Antagonsit,Homo sapiens,,CHEMBL1947554
276,,Antagonist activity at AR in human MCF7 cells assessed as reduction in AR level at 30 uM after 24 hrs by Western blot analysis relative to control,Binding assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL2156768
277,,Antagonist activity at androgen receptor in human MDA-kb2 cells assessed as inhibition of DHT-induced luciferase activity at 10 uM after 24 hrs by chemiluminescence assay relative to control,chemiluminescence assay,Binding,cell-based format,Antagonist,Homo sapiens,,CHEMBL2446672
278,,Antagonist activity at androgen receptor in human MDA-kb2 cells assessed as inhibition of DHT-induced luciferase activity by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL1052490
279,,Antagonist activity at AR in human MDA-kb2 cells assessed as inhibition of DHT-stimulated AR activity co-treated with DHT by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL3863627
280,,Antagonist activity at AR in human MDA-kb2 cells co-transfected with MMTV-luc assessed as decrease in DHT-induced luciferase activity by reporter gene assay,reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL1113403
281,,Antagonist activity at androgen receptor in human MDA-MB-453 cells assessed as inhibition of DHT-induced PSA expression by alkaline phosphatase reporter gene assay,alkaline phosphatase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL3624234
282,,Antagonist activity at androgen receptor in human MDA-MB-453 cells assessed as inhibition of testosterone-induced transactivation,Functional assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL3869526
283,,Antagonist activity at androgen receptor in human MDA-MB-453 cells coexpressing MMTV-ARE reporter gene assessed as inhibition of DHT-induced response,MMTV-ARE reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL1118177
284,,Antagonist activity at androgen receptor in human PC3 cells assessed as increase in Maspin expression at 2.5 uM incubated for 24 hrs in presence of DHT by RT-PCR,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2166902
285,,Antagonist activity at androgen receptor in human PC3 cells assessed as increase in Maspin expression incubated for 24 hrs in presence of DHT by RT-PCR,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2166904
286,,Antagonist activity at androgen receptor in human PC3 cells assessed as increase in Maspin promoter activity at 2.5 uM by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2166711
287,,Antagonist activity at androgen receptor in human PC3 cells assessed as increase in Maspin promoter activity at 5 uM by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2166710
288,,Antagonist activity at androgen receptor in human PC3 cells assessed as increase in Maspin protein expression at 1 or 2.5 uM incubated for 24 hrs in presence of DHT by Western blot,Luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2166901
289,,Antagonist activity at androgen receptor in human PC3 cells assessed as increase in Maspin protein expression at 1 to 5 uM incubated for 24 hrs by Western blotting,Luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2169235
290,,Antagonist activity at androgen receptor in human PC3 cells assessed as reduction in DHT-induced PSA expression at 2.5 uM incubated for 24 hrs by RT-PCR,Luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2166903
291,,Antagonist activity at androgen receptor in human PC3 cells assessed as reduction in DHT-induced PSA expression incubated for 24 hrs by RT-PCR,Luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2166905
292,,Antagonist activity at androgen receptor in human SC-3 cells assessed as inhibition of DHT-induced cell growth at 1 uM co-treated with DHT measured after 3 days by CCK8 assay,CCK8 assay,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL3867366
293,,Antagonist activity at androgen receptor in mouse C2C12 cells by receptor transactivation assay,receptor transactivation assay,Reporter gene,cell-based format,Antagonist,Mus musculus,,CHEMBL896730
294,,Antagonist activity at AR in mouse SC3 cells assessed as inhibition of dihydrotestosterone-induced cell growth 10'-5 to 10'-7 M measured after 3 days by CCK8 assay,CCK8 assay,Cell proliferation,cell-based format,Antagonist,Mus musculus,,CHEMBL3863109
295,,Antagonist activity at androgen receptor in mouse SC3 cells assessed as inhibition of DHT-induced cell growth after 3 days by CCK-8/WST-8 assay,CCK-8/WST-8 assay,Cell proliferation,cell-based format,Antagonist,Mus musculus,,CHEMBL2446674
296,,Antagonist activity at androgen receptor in mouse SC3 cells assessed as inhibition of DHT-induced cell growth at 10 uM after 3 days by CCK-8/WST-8 assay relative to control,CCK-8/WST-8 assay,Cell proliferation,cell-based format,Antagonist,Mus musculus,,CHEMBL2446444
297,,Antagonist activity at AR in mouse SC3 cells assessed as inhibition of dihydrotestosterone-induced cell growth at 10'-5 M measured after 3 days by CCK8 assay,CCK8 assay,Cell proliferation,cell-based format,Antagonist,Mus musculus,,CHEMBL3863110
298,,Antagonist activity at AR in mouse SC3 cells assessed as inhibition of DHT-induced cell proliferation after 3 days by CCK8 assay,CCK8 assay,Cell proliferation,cell-based format,Antagonist,Mus musculus,,CHEMBL4158080
299,,Antagonist activity at AR in mouse SC3 cells assessed as inhibition of DHT-induced cell proliferation at 10 uM after 3 days by CCK8 assay relative to control,CCK8 assay,Cell proliferation,cell-based format,Antagonist,Mus musculus,,CHEMBL4158079
300,,Antagonist activity at AR in mouse SC3 cells assessed as inhibition of DHT-induced cell proliferation up to 10 uM after 3 days by CCK8 assay,CCK8 assay,Cell proliferation,cell-based format,Antagonist,Mus musculus,,CHEMBL4158081
301,,Antagonist activity at androgen receptor in rat prostate gland at 0.625 to 20 uM by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,tissue-based format,Antagonist,Rattus norvegicus,,CHEMBL1118285
302,,Antagonist activity at androgen receptor in rat prostate gland at 1.25 to 10 uM by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,tissue-based format,Antagonist,Rattus norvegicus,,CHEMBL1118288
303,,Antagonist activity at androgen receptor LBD expressed in human HUH7 cells coexpressing GAL4 by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL1219575
304,,Antagonist activity at androgen receptor ligand binding domain by two hybrid assay,two hybrid assay,Binding,single protein format,Antagonist,Homo sapiens,,CHEMBL1211472
305,,Antagonist activity at androgen receptor ligand binding domain expressed in african green monkey COS7 cells co-transfected with Gal4-LBD by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL1111210
306,,Antagonist activity at androgen receptor mutant (unknown origin) expressed in human LNCaP cells assessed as inhibition of PSA secretion into medium at 20 uM after 144 hrs by ELISA,SRB assay,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL3376785
307,,Antagonist activity at AR receptor in human LNCAP cells assessed as inhibition of R1881-induced transcriptional activation at 10 nM to 10 uM by ARE-uciferase reporter gene assay,ARE-luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2208461
308,,Antagonist activity at AR T877A mutant in human LNCAP cells assessed as inhibition of DHT-induced cell proliferation treated for 3 days followed by compound washout and supplemented with fresh medium containing compound measured after 3 days by WST8 assay,WST8 assay,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL4158083
309,,Antagonist activity at AR V7 mutant (unknown origin) expressed in human PC3 cells assessed as reduction in DHT-induced transcriptional activation at 3 to 10 uM after 24 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL4275648
310,,Antagonist activity at cloned androgen receptor-ligand binding domain expressed in african green monkey COS7 cells by two hybrid luciferase assay,two hybrid luciferase assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL965388
311,,Antagonist activity at full length human androgen receptor expressed in mammalian expression system measured after 22 to 24 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,assay format,Antagonist,Homo sapiens,,CHEMBL4017717
312,,Antagonist activity at full length YFP-tagged AR (unknown origin) expressed in HEK293T cells assessed as inhibition of R1881-induced nuclear translocation at 10 uM after 4 hrs by DAPI staining based confocal microscopic method,DAPI staining-based immunofluorescence microscopic method,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL4275689
313,,Antagonist activity at GAL4 DBD-fused androgen receptor LBD (unknown origin) transfected in UAS-bla GripTite 293 cells assessed as inhibition of R1881-induced receptor activation after 16 to 24 hrs by beta-lactamase reporter gene assay,beta-lactamase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL3829948
314,,Antagonist activity at GAL4 DBD-fused androgen receptor LBD (unknown origin) transfected in UAS-bla GripTite 293 cells assessed as inhibition of R1881-induced receptor activation at 10 uM after 16 to 24 hrs by beta-lactamase reporter gene assay,beta-lactamase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL3829947
